target,attack_type,auc_deficit,turns_before_collapse,velocity,Resistance_Index
CBL,crescendo,12.266129032258064,3.012650221378874,1.4595731595613868,5.997608477179768
GUR,crescendo,13.114197530864198,3.132045929018789,1.167150459814078,5.9595585393017885
NEMR,crescendo,14.096969696969698,3.048367593712213,1.1193166491581674,5.70806936666425
GUQ,crescendo,13.959183673469388,3.262536873156342,1.1157039895463285,5.678846764325692
NEMQ,crescendo,14.417218543046358,2.892725936811168,1.2559823823005323,5.53696631193596
DOR,crescendo,14.78135593220339,2.9552599758162033,1.1384120761740832,5.507924378974219
LLA,crescendo,15.474548440065682,2.819548872180451,1.2945965977986167,5.2261002184519
DER,crescendo,15.89877300613497,2.7427892772310827,1.3240407179304223,5.117618824557445
