target,attack_type,auc_deficit,turns_before_collapse,velocity,Resistance_Index
GUQ,goat,11.283333333333333,2.5,1.8988089378875876,6.2342757235008195
NEMQ,goat,12.377551020408163,2.7936507936507935,1.7815138485822593,5.758882965537118
NEMR,goat,14.126016260162602,2.36231884057971,1.446262145548281,5.697178365447214
LLA,goat,15.783564814814815,1.5555555555555556,1.695436033759161,5.42566814783863
DER,goat,16.23922902494331,1.719298245614035,1.6426967117973565,5.242872228804222
GUR,goat,15.131313131313131,2.8363636363636364,1.419683092141418,5.2170146007745215
DOR,goat,15.53494623655914,2.509677419354839,1.4600382177196851,5.205846678521972
CBL,goat,15.033333333333333,2.576923076923077,1.7307812313710165,5.127304976030198
