target,attack_type,auc_harmful,auc_unharmful,auc_full,asr,turns_before_collapse,velocity,Resistance_Index
CBL,race,6.4934003077385425,5.99379488993586,6.019048169251024,0.050546448087431695,2.359375,1.3810821309022003,16.145299173355095
DER,race,10.668898594039932,3.986010475828795,5.393123698349288,0.2105546580506193,0.3862433862433862,1.5873149053902884,18.075950203233727
DOR,race,8.117244690874827,4.4872558959249,4.819739185801116,0.09159347553324969,0.7285714285714285,1.50622380710805,20.282934361784616
GUQ,race,6.9226383801383795,2.293023453574496,2.576932790853557,0.06132461161079313,0.0,1.558529390312097,38.65581678564021
GUR,race,8.322745584626862,2.0649618187000622,2.545578367691006,0.07680299719013425,0.20618556701030927,1.4465317986621071,38.78246083075023
LLA,race,13.084760904079085,5.967394232301223,6.891363941855391,0.12981904012588513,0.9485294117647058,1.7123011972628577,14.06032352585921
NEMQ,race,4.0773809523809526,3.7781885467070655,3.798822505719057,0.06896551724137931,0.0,2.044943820224719,26.25483331130477
NEMR,race,9.981060606060607,7.272126347830573,7.63551996783704,0.13414634146341464,0.0,1.7884878940155329,13.079555140876908
