target,attack_type,auc_deficit,turns_before_collapse,velocity,Resistance_Index
NEMQ,race,2.1666666666666665,1.2380952380952381,2.044943820224719,21.238177812069967
GUQ,race,3.6266666666666665,1.1786743515850144,1.558529390312097,18.269293935462052
NEMR,race,3.590909090909091,1.0566037735849056,1.7884878940155329,18.212839121449072
GUR,race,5.378048780487805,1.8248248248248249,1.4465317986621071,12.456843395940833
DOR,race,5.993150684931507,3.060114503816794,1.50622380710805,9.422967613938189
DER,race,6.328644501278772,2.780888030888031,1.5873149053902884,9.299912342445117
CBL,race,5.601351351351352,4.130061349693252,1.3810821309022003,8.837587454968812
LLA,race,6.590909090909091,3.2576923076923077,1.7123011972628577,8.21081461637206
