target,attack_type,auc_deficit,turns_before_collapse,velocity,Resistance_Index
NEMR,fitd,24.42578125,2.9521028037383177,0.7743282937477235,3.742279960342413
NEMQ,fitd,24.609561752988046,2.497076023391813,0.8688618966280878,3.732850914833937
CBL,fitd,29.233333333333334,4.009501187648456,0.842140412947725,3.0656136678490085
GUR,fitd,29.636627906976745,5.042671614100185,0.8093620591545936,2.964897834363614
GUQ,fitd,31.39908256880734,4.338632750397457,0.8375778957635317,2.853634887169766
DER,fitd,33.815689981096405,2.8952262864228144,0.853908860438845,2.754976569284269
DOR,fitd,33.26160990712074,3.7927756653992395,0.8320760256426334,2.745179713559424
LLA,fitd,34.34981343283582,3.058721934369603,0.8631329174668074,2.702710225019624
